league,team,win_total,over_price,under_price,sportsbook
NCAAF,Air Force,7.5,125,-160,BetMGM
NCAAF,Akron,4.5,-115,-115,BetMGM
NCAAF,Alabama,8.5,-120,-105,BetMGM
NCAAF,Appalachian State,5.5,-165,130,BetMGM
NCAAF,Arizona,7.5,110,-140,BetMGM
NCAAF,Arizona State,6.5,-130,100,BetMGM
NCAAF,Arkansas,4.5,135,-175,BetMGM
NCAAF,Arkansas State,5.5,-200,155,BetMGM
NCAAF,Army,7.5,-145,115,BetMGM
NCAAF,Auburn,6.5,-120,-110,BetMGM
NCAAF,Ball State,3.5,-125,-105,BetMGM
NCAAF,Baylor,6.5,150,-190,BetMGM
NCAAF,Boise State,7.5,-160,125,BetMGM
NCAAF,Boston College,3.5,120,-155,BetMGM
NCAAF,Bowling Green,4.5,-160,125,BetMGM
NCAAF,Buffalo,6.5,135,-175,BetMGM
NCAAF,BYU,8.5,-150,115,BetMGM
NCAAF,California,6.5,120,-155,BetMGM
NCAAF,Central Michigan,6.5,110,-140,BetMGM
NCAAF,Charlotte,2.5,120,-155,BetMGM
NCAAF,Cincinnati,5.5,120,-155,BetMGM
NCAAF,Clemson,7.5,-145,110,BetMGM
NCAAF,Coastal Carolina,4.5,-150,115,BetMGM
NCAAF,Colorado,4.5,135,-175,BetMGM
NCAAF,Colorado State,3.5,-150,115,BetMGM
NCAAF,Connecticut,5.5,-118,-110,BetMGM
NCAAF,Delaware,6.5,130,-165,BetMGM
NCAAF,Duke,5.5,-125,-102,BetMGM
NCAAF,East Carolina,7.5,115,-150,BetMGM
NCAAF,Eastern Michigan,5.5,-155,120,BetMGM
NCAAF,Florida,7.5,130,-165,BetMGM
NCAAF,Florida Atlantic,5.5,-160,125,BetMGM
NCAAF,Florida International,6.5,120,-155,BetMGM
NCAAF,Florida State,6.5,150,-200,BetMGM
NCAAF,Fresno State,7.5,125,-160,BetMGM
NCAAF,Georgia,9.5,-200,154,BetMGM
NCAAF,Georgia Southern,4.5,-155,120,BetMGM
NCAAF,Georgia State,4.5,150,-200,BetMGM
NCAAF,Georgia Tech,6.5,-105,-120,BetMGM
NCAAF,Hawaii,7.5,100,-125,BetMGM
